Date,New Cases,Fully Vaccinated / 100
2021-09-02,175825.0,52.03
2021-09-03,234848.0,52.19
2021-09-04,64444.0,52.32
2021-09-05,40288.0,
2021-09-06,75182.0,
2021-09-07,277028.0,52.53
2021-09-08,182223.0,52.66
2021-09-09,159804.0,52.76
2021-09-10,227797.0,52.9
2021-09-11,64255.0,53.02
2021-09-12,35859.0,53.13
2021-09-13,260755.0,53.22
2021-09-14,145028.0,53.31
2021-09-15,171267.0,53.43
2021-09-16,154930.0,53.55
2021-09-17,208072.0,53.69
2021-09-18,56759.0,53.83
2021-09-19,36333.0,53.93
2021-09-20,201777.0,54.03
2021-09-21,121236.0,54.12
2021-09-22,132420.0,54.23
2021-09-23,125838.0,54.29
2021-09-24,177452.0,54.4
2021-09-25,47532.0,54.52
2021-09-26,30958.0,54.61
2021-09-27,185016.0,54.68
2021-09-28,109605.0,
2021-09-29,123267.0,54.81
2021-09-30,110594.0,54.89
2021-10-01,158284.0,54.96
2021-10-02,39206.0,55.05
2021-10-03,25215.0,55.15
2021-10-04,169207.0,55.24
2021-10-05,95234.0,55.32
2021-10-06,111338.0,55.42
2021-10-07,100083.0,55.49
2021-10-08,131142.0,55.58
2021-10-09,27937.0,55.67
2021-10-10,22194.0,
2021-10-11,116202.0,
2021-10-12,106308.0,55.81
